Suspeito,id_campo,Data,Setor,LON,LAT
"0","152",30/01/2024,"3","-42.026109","-22.974347"
"0","153",30/01/2024,"2","-42.026597","-22.974755"
"0","154",30/01/2024,"1","-42.027625","-22.975445"
"0","155",30/01/2024,"1","-42.027334","-22.975329"
"0","156",30/01/2024,"2","-42.027270","-22.975300"
"0","157",30/01/2024,"1","-42.027112","-22.975411"
"0","158",30/01/2024,"1","-42.028731","-22.975868"
"0","159",30/01/2024,"1","-42.029198","-22.975799"
"0","160",30/01/2024,"2","-42.026991","-22.974333"
"0","161",30/01/2024,"2","-42.026699","-22.974251"
"0","162",30/01/2024,"2","-42.026284","-22.974020"
"0","163",30/01/2024,"1","-42.026558","-22.975785"
"0","164",30/01/2024,"1","-42.026969","-22.975747"
"1","165",30/01/2024,"2","-42.028515","-22.975212"
"0","166",30/01/2024,"2","-42.028180","-22.975333"
"0","167",30/01/2024,"2","-42.028071","-22.975147"
"0","168",30/01/2024,"7","-42.026153","-22.971405"
"1","169",30/01/2024,"2","-42.028974","-22.974855"
"0","170",30/01/2024,"2","-42.030093","-22.974416"
"0","171",30/01/2024,"2","-42.030234","-22.973882"
"0","172",30/01/2024,"2","-42.030121","-22.973822"
"0","173",30/01/2024,"6","-42.030389","-22.972369"
"0","174",30/01/2024,"1","-42.028220","-22.975463"
"0","175",30/01/2024,"1","-42.028816","-22.975504"
"0","176",30/01/2024,"8","-42.021944","-22.975711"
"0","177",30/01/2024,"8","-42.021984","-22.975262"
"0","178",30/01/2024,"3","-42.022252","-22.975086"
"0","179",30/01/2024,"3","-42.022175","-22.974859"
"0","180",30/01/2024,"3","-42.022103","-22.974832"
"0","181",30/01/2024,"3","-42.021723","-22.973171"
"0","182",30/01/2024,"3","-42.021769","-22.973273"
"0","183",30/01/2024,"3","-42.021807","-22.973379"
"0","184",30/01/2024,"3","-42.021850","-22.973481"
"0","185",30/01/2024,"3","-42.021603","-22.973480"
"0","186",30/01/2024,"8","-42.023254","-22.975548"
"0","187",30/01/2024,"8","-42.023273","-22.975622"
"0","188",30/01/2024,"8","-42.024694","-22.975414"
"0","189",30/01/2024,"8","-42.023455","-22.975350"
"0","190",30/01/2024,"8","-42.025102","-22.975522"
"0","191",30/01/2024,"8","-42.025567","-22.975611"
"0","192",30/01/2024,"3","-42.022440","-22.974751"
"0","193",30/01/2024,"3","-42.022339","-22.973739"
"0","194",30/01/2024,"3","-42.022686","-22.974177"
"0","195",30/01/2024,"3","-42.023022","-22.975055"
"0","196",30/01/2024,"3","-42.022784","-22.975019"
"0","197",30/01/2024,"3","-42.023394","-22.974917"
"0","198",30/01/2024,"3","-42.023432","-22.974911"
"0","199",30/01/2024,"3","-42.023081","-22.974445"
"0","200",30/01/2024,"3","-42.024223","-22.974625"
"0","201",30/01/2024,"3","-42.024126","-22.974569"
"0","202",30/01/2024,"3","-42.022935","-22.974978"
"0","203",30/01/2024,"3","-42.023676","-22.974520"
"0","204",30/01/2024,"3","-42.023683","-22.974580"
"0","205",30/01/2024,"3","-42.023440","-22.974151"
"0","206",30/01/2024,"3","-42.024599","-22.974416"
"0","207",30/01/2024,"3","-42.024466","-22.974274"
"1","208",30/01/2024,"3","-42.024081","-22.974155"
"0","209",30/01/2024,"3","-42.024006","-22.974306"
"0","210",30/01/2024,"3","-42.023903","-22.974006"
"0","211",30/01/2024,"3","-42.023348","-22.973891"
"0","212",30/01/2024,"3","-42.023341","-22.973708"
"0","213",30/01/2024,"3","-42.022203","-22.973309"
"0","214",30/01/2024,"3","-42.022191","-22.973283"
"0","215",30/01/2024,"2","-42.027821","-22.973978"
"0","216",30/01/2024,"2","-42.028940","-22.973901"
"0","217",30/01/2024,"2","-42.029487","-22.973573"
"0","218",30/01/2024,"3","-42.025459","-22.973632"
"1","219",30/01/2024,"3","-42.025309","-22.974498"
"0","220",31/01/2024,"5","-42.022651","-22.969356"
"0","221",31/01/2024,"3","-42.022031","-22.972866"
"0","222",31/01/2024,"3","-42.022039","-22.972890"
"0","223",31/01/2024,"3","-42.025525","-22.973474"
"0","224",,"3","-42.023702","-22.973789"
"0","225",,"3","-42.022372","-22.972934"
"0","226",,"3","-42.022108","-22.973076"
"0","227",,"3","-42.022120","-22.973105"
"0","228",,"7","-42.023109","-22.970306"
"0","229",,"7","-42.021518","-22.970502"
"0","230",,"5","-42.023215","-22.969549"
"0","231",,"5","-42.022845","-22.969716"
"0","232",,"7","-42.022420","-22.970218"
"0","3",,"6","-42.028846","-22.972358"
"0","76",,"6","-42.030799","-22.972928"
"0","233",,"6","-42.030546","-22.970418"
"0","234",,"4","-42.028354","-22.969820"
"0","235",,"4","-42.027770","-22.969511"
"0","236",,"4","-42.026605","-22.969653"
"0","237",,"4","-42.026577","-22.969825"
"0","238",,"4","-42.026388","-22.969555"
"0","239",,"4","-42.026487","-22.969645"
"0","240",,"3","-42.024190","-22.973653"
"0","241",,"1","-42.028924","-22.976164"
"0","241",,"1","-42.030420","-22.976296"
"1","243",,"1","-42.030305","-22.976417"
"0","244",,"1","-42.030614","-22.976643"
"0","245",,"1","-42.030429","-22.977188"
"0","246",,"1","-42.029722","-22.976466"
"1","247",,"1","-42.027990","-22.976140"
"0","248",,"1","-42.026206","-22.976072"
"0","249",,"8","-42.025963","-22.976180"
"0","250",,"8","-42.024554","-22.975741"
"0","251",,"8","-42.024094","-22.975572"
"0","252",06/02/2024,"8","-42.023289","-22.975688"
"0","253",06/02/2024,"8","-42.023205","-22.975862"
"1","254",06/02/2024,"8","-42.022382","-22.976284"
"1","255",06/02/2024,"8","-42.023077","-22.976479"
"0","256",06/02/2024,"8","-42.022688","-22.976257"
"0","257",07/02/2024,"8","-42.022252","-22.976786"
"0","258",07/02/2024,"8","-42.022456","-22.976662"
"0","259",07/02/2024,"8","-42.023238","-22.976726"
"0","260",07/02/2024,"8","-42.023093","-22.977076"
"0","261",06/02/2024,"8","-42.023097","-22.977193"
"0","262",06/02/2024,"8","-42.023159","-22.977330"
"0","263",06/02/2024,"8","-42.023484","-22.977326"
"0","264",06/02/2024,"8","-42.022950","-22.977710"
"0","265",06/02/2024,"8","-42.023221","-22.978069"
"0","266",06/02/2024,"8","-42.023445","-22.978132"
"0","267",06/02/2024,"8","-42.023837","-22.978072"
"0","268",06/02/2024,"8","-42.023938","-22.978034"
"0","269",06/02/2024,"8","-42.022645","-22.977866"
"0","270",06/02/2024,"8","-42.024226","-22.978170"
"0","271",06/02/2024,"8","-42.023958","-22.977551"
"0","272",06/02/2024,"8","-42.023870","-22.977446"
"0","273",06/02/2024,"8","-42.023992","-22.977356"
"0","274",06/02/2024,"8","-42.023897","-22.977246"
"0","275",06/02/2024,"8","-42.024705","-22.977656"
"0","276",06/02/2024,"8","-42.025177","-22.978419"
"0","277",06/02/2024,"8","-42.025522","-22.978140"
"0","278",06/02/2024,"8","-42.025620","-22.978202"
"0","279",06/02/2024,"8","-42.025841","-22.978069"
"0","280",06/02/2024,"8","-42.025468","-22.977969"
"0","281",06/02/2024,"8","-42.025290","-22.977755"
"0","282",06/02/2024,"1","-42.026070","-22.978374"
"0","283",06/02/2024,"1","-42.026106","-22.978264"
"0","284",06/02/2024,"1","-42.026731","-22.977961"
"0","285",06/02/2024,"1","-42.026913","-22.978068"
"0","286",06/02/2024,"1","-42.027067","-22.978123"
"0","287",06/02/2024,"1","-42.028180","-22.978335"
"0","288",06/02/2024,"1","-42.028466","-22.978410"
"0","289",06/02/2024,"1","-42.027655","-22.978706"
"0","290",06/02/2024,"1","-42.028537","-22.979155"
"0","291",06/02/2024,"1","-42.028626","-22.978060"
"0","292",06/02/2024,"1","-42.030024","-22.978591"
"0","293",06/02/2024,"1","-42.029514","-22.978390"
"0","294",06/02/2024,"1","-42.029335","-22.978279"
"0","295",06/02/2024,"1","-42.028121","-22.977841"
"0","296",06/02/2024,"1","-42.027931","-22.977795"
"0","297",06/02/2024,"1","-42.027199","-22.977579"
"0","298",06/02/2024,"1","-42.026734","-22.977512"
"0","299",06/02/2024,"8","-42.025109","-22.977638"
"0","300",06/02/2024,"8","-42.024025","-22.977128"
"0","301",06/02/2024,"8","-42.023808","-22.976997"
"0","302",06/02/2024,"8","-42.023860","-22.976882"
"0","303",06/02/2024,"8","-42.022771","-22.976229"
"0","304",06/02/2024,"8","-42.025031","-22.976725"
"0","305",06/02/2024,"8","-42.025226","-22.976578"
"0","306",06/02/2024,"8","-42.025164","-22.977328"
"0","307",06/02/2024,"8","-42.025382","-22.977138"
"0","308",06/02/2024,"8","-42.025460","-22.976918"
"0","309",06/02/2024,"8","-42.025429","-22.976908"
"0","310",06/02/2024,"8","-42.025490","-22.976925"
"0","311",06/02/2024,"8","-42.025407","-22.977143"
"0","312",06/02/2024,"8","-42.025537","-22.976828"
"0","313",06/02/2024,"8","-42.025734","-22.976812"
"0","314",06/02/2024,"8","-42.025957","-22.976813"
"0","315",06/02/2024,"1","-42.026192","-22.976861"
"0","316",06/02/2024,"1","-42.026255","-22.977072"
"0","317",06/02/2024,"1","-42.026397","-22.977047"
"0","318",06/02/2024,"1","-42.026575","-22.977142"
"0","319",06/02/2024,"8","-42.024834","-22.976432"
"0","320",06/02/2024,"8","-42.024878","-22.976249"
"0","321",06/02/2024,"8","-42.025551","-22.976504"
"0","322",06/02/2024,"1","-42.026451","-22.976290"
"0","323",06/02/2024,"1","-42.026949","-22.976871"
"0","324",06/02/2024,"1","-42.027200","-22.976825"
"0","325",06/02/2024,"1","-42.027844","-22.977153"
"0","326",06/02/2024,"1","-42.027492","-22.977423"
"0","327",06/02/2024,"1","-42.027890","-22.977600"
"0","328",06/02/2024,"1","-42.028026","-22.976989"
"0","329",06/02/2024,"1","-42.028749","-22.977148"
"0","330",06/02/2024,"1","-42.029170","-22.977683"
"0","331",06/02/2024,"1","-42.028855","-22.976887"
"1","332",06/02/2024,"1","-42.029550","-22.978214"
"0","333",06/02/2024,"1","-42.028035","-22.976513"
"0","334",06/02/2024,"1","-42.027553","-22.976465"
"0","335",06/02/2024,"1","-42.029136","-22.976530"
"0","336",06/02/2024,"1","-42.028733","-22.977271"
"0","337",06/02/2024,"8","-42.023785","-22.977158"
"0","338",06/02/2024,"8","-42.022966","-22.976070"
"0","339",06/02/2024,"8","-42.024665","-22.977178"
"0","340",06/02/2024,"1","-42.030461","-22.976507"
"0","341",06/02/2024,"8","-42.026056","-22.976226"
"0","242",06/02/2024,"1","-42.028287","-22.977593"
"1","343",06/02/2024,"8","-42.024510","-22.978180"
